1,1,10/17/2018,MIN,22.5,1.85,1.85
2,2,10/20/2018,POR,23.5,1.95,1.75
3,3,10/22/2018,LAL,24.5,1.85,1.85
4,4,10/24/2018,IND,25.5,1.85,1.85
5,5,10/27/2018,LAL,26.5,1.85,1.85
6,6,10/29/2018,DAL,24.5,1.85,1.85
7,7,10/31/2018,PHO,27.5,1.85,1.85
8,8,11/3/2018,NOP,27.5,1.85,1.85
9,9,11/4/2018,ORL,26.5,1.85,1.85
10,10,11/7/2018,MIA,26.5,1.85,1.85
11,11,11/10/2018,HOU,26.5,1.85,1.85
12,12,11/12/2018,SAC,24.5,1.9,1.8
13,13,11/14/2018,PHO,25.5,1.85,1.85
14,14,11/15/2018,LAC,24.5,1.85,1.85
15,15,11/18/2018,GSW,25.5,1.85,1.85
16,16,11/19/2018,NOP,24.5,1.85,1.85
17,17,11/21/2018,MEM,24.5,1.85,1.85
18,18,11/23/2018,IND,23.5,1.85,1.85
19,19,11/24/2018,MIL,24.5,1.85,1.85
20,20,11/26/2018,CHI,24.5,1.85,1.85
21,21,11/28/2018,MIN,23.5,1.85,1.85
22,22,11/30/2018,HOU,23.5,1.85,1.85
23,23,12/2/2018,POR,23.5,1.85,1.85
24,24,12/4/2018,UTA,23.5,1.85,1.85
25,25,12/5/2018,LAL,24.5,1.85,1.85
26,26,12/7/2018,LAL,25.5,1.85,1.85
27,27,12/9/2018,UTA,23.5,1.85,1.85
28,28,12/11/2018,PHO,24.5,1.85,1.85
29,29,12/13/2018,LAC,25.5,1.85,1.85
30,30,12/15/2018,CHI,23.5,1.85,1.85
31,31,12/17/2018,PHI,24.5,1.8,1.9
32,32,12/19/2018,ORL,23.5,1.85,1.85
33,33,12/21/2018,MIN,22.5,1.85,1.85
34,34,12/22/2018,HOU,22.5,1.85,1.85
35,35,12/26/2018,DEN,22.5,1.85,1.85
36,36,12/28/2018,DEN,23.5,1.85,1.85
37,37,12/29/2018,LAC,23.5,1.85,1.85
38,38,12/31/2018,BOS,24.5,1.85,1.85
39,39,1/3/2019,TOR,25.5,1.85,1.85
40,40,1/5/2019,MEM,22.5,1.85,1.85
41,41,1/7/2019,DET,22.5,1.9,1.8
42,42,1/9/2019,MEM,22.5,1.8,1.9
43,43,1/10/2019,OKC,22.5,1.85,1.85
44,44,1/12/2019,OKC,22.5,1.85,1.85
45,45,1/14/2019,CHO,23.5,1.9,1.8
46,46,1/16/2019,DAL,22.5,1.85,1.85
47,x,1/18/2019,MIN,x,,
48,47,1/20/2019,LAC,20.5,1.85,1.85
49,48,1/23/2019,PHI,20.5,1.85,1.85
50,x,1/26/2019,NOP,x,,
51,x,1/27/2019,WAS,x,,
52,x,1/29/2019,PHO,x,,
53,49,1/31/2019,BRK,19.5,1.85,1.85
54,50,2/2/2019,NOP,19.5,1.95,1.85
55,51,2/4/2019,SAC,20.5,1.85,1.85
56,x,2/6/2019,GSW,x,,
57,52,2/7/2019,POR,20.5,1.85,1.85
58,53,2/9/2019,UTA,19.5,1.85,1.85
59,54,2/12/2019,MEM,20.5,1.85,1.85
60,55,2/22/2019,TOR,21.5,1.75,1.95
61,56,2/24/2019,NYK,22.5,1.85,1.85
62,57,2/25/2019,BRK,22.5,1.85,1.85
63,58,2/27/2019,DET,22.5,1.85,1.85
64,59,3/2/2019,OKC,22.5,1.85,1.85
65,60,3/4/2019,DEN,21.5,1.85,1.85
66,61,3/6/2019,ATL,22.5,1.85,1.85
67,62,3/10/2019,MIL,21.5,1.85,1.85
68,63,3/12/2019,DAL,21.5,1.85,1.85
69,64,3/15/2019,NYK,22.5,1.85,1.85
70,65,3/16/2019,POR,21.5,1.85,1.85
71,66,3/18/2019,GSW,23.5,1.85,1.85
72,67,3/20/2019,MIA,21.5,1.85,1.85
73,68,3/22/2019,HOU,21.5,1.85,1.85
74,69,3/24/2019,BOS,20.5,1.85,1.85
75,70,3/26/2019,CHO,20.5,1.85,1.85
