1,1,10/18/2018,POR,27.5,1.9,1.8
2,2,10/20/2018,HOU,29.5,1.85,1.85
3,3,10/22/2018,SAS,28.5,1.85,1.85
4,4,10/24/2018,PHO,29.5,1.85,1.85
5,5,10/25/2018,DEN,29.5,1.85,1.85
6,6,10/27/2018,SAS,29.5,1.85,1.85
7,7,10/29/2018,MIN,29.5,1.85,1.85
8,8,10/31/2018,DAL,29.5,1.85,1.85
9,9,11/3/2018,POR,29.5,1.85,1.85
10,10,11/4/2018,TOR,28.5,1.85,1.85
11,11,11/7/2018,MIN,28.5,1.85,1.85
12,12,11/10/2018,SAC,27.5,1.85,1.85
13,13,11/11/2018,ATL,26.5,1.95,1.75
14,14,11/14/2018,POR,26.5,1.9,1.7
15,15,11/17/2018,ORL,28.5,1.9,1.8
16,16,11/18/2018,MIA,28.5,1.85,1.85
17,17,11/21/2018,CLE,28.5,1.85,1.85
18,18,11/23/2018,UTA,28.5,1.85,1.85
19,19,11/25/2018,ORL,28.5,1.85,1.85
20,20,11/27/2018,DEN,28.5,1.85,1.85
21,21,11/29/2018,IND,27.5,1.85,1.85
22,22,11/30/2018,DAL,27.5,1.85,1.85
23,23,12/2/2018,PHO,27.5,1.9,1.8
24,24,12/5/2018,SAS,28.5,1.85,1.85
25,25,12/7/2018,SAS,30.5,1.85,1.85
26,26,12/8/2018,MEM,28.5,1.9,1.8
27,27,12/10/2018,MIA,27.5,1.85,1.85
28,28,12/13/2018,HOU,28.5,1.95,1.75
29,29,12/15/2018,CHO,29.5,1.85,1.85
30,30,12/16/2018,WAS,29.5,1.85,1.85
31,31,12/18/2018,BRK,29.5,1.85,1.85
