1,1,10/18/2018,POR,15.5,1.85,1.85
2,2,10/20/2018,HOU,15.5,1.95,1.75
3,3,10/22/2018,SAS,16.5,1.85,1.85
4,4,10/24/2018,PHO,20.5,1.85,1.85
5,5,10/25/2018,DEN,19.5,1.85,1.85
6,6,10/27/2018,SAS,20.5,1.85,1.85
7,7,10/29/2018,MIN,17.5,1.85,1.85
8,8,10/31/2018,DAL,17.5,1.85,1.85
9,9,11/3/2018,POR,17.5,1.85,1.85
10,10,11/4/2018,TOR,17.5,1.85,1.85
11,11,11/7/2018,MIN,18.5,1.85,1.85
12,12,11/10/2018,SAC,18.5,1.85,1.85
13,13,11/11/2018,ATL,18.5,1.85,1.85
14,14,11/14/2018,POR,16.5,1.95,1.75
15,15,11/17/2018,ORL,17.5,1.85,1.85
16,16,11/18/2018,MIA,16.5,1.85,1.85
17,17,11/21/2018,CLE,16.5,1.85,1.85
18,18,11/23/2018,UTA,15.5,1.85,1.85
19,19,11/25/2018,ORL,15.5,1.85,1.85
20,20,11/27/2018,DEN,15.5,1.85,1.85
21,21,11/29/2018,IND,16.5,1.85,1.85
22,22,11/30/2018,DAL,16.5,1.85,1.85
23,23,12/2/2018,PHO,16.5,1.85,1.85
24,24,12/5/2018,SAS,16.5,1.85,1.85
25,25,12/7/2018,SAS,19.5,1.85,1.85
26,26,12/8/2018,MEM,18.5,1.85,1.85
27,27,12/10/2018,MIA,18.5,1.85,1.85
28,28,12/13/2018,HOU,19.5,1.85,1.85
29,29,12/15/2018,CHO,22.5,1.8,1.9
30,30,12/16/2018,WAS,20.5,1.85,1.85
31,31,12/18/2018,BRK,20.5,1.85,1.85
32,32,12/21/2018,NOP,20.5,1.85,1.85
33,33,12/23/2018,MEM,20.5,1.8,1.9
34,34,12/25/2018,GSW,19.5,1.85,1.85
35,35,12/27/2018,SAC,24.5,1.85,1.85
36,36,12/28/2018,LAC,25.5,1.85,1.85
37,37,12/30/2018,SAC,25.5,1.85,1.85
38,38,1/2/2019,OKC,24.5,1.75,2
39,x,1/4/2019,NYK,x,,
40,x,1/6/2019,MIN,x,,
41,39,1/7/2019,DAL,19.5,1.85,1.85
42,40,1/9/2019,DET,20.5,1.9,1.8
43,41,1/11/2019,UTA,20.5,1.85,1.85
44,42,1/13/2019,CLE,23.5,1.85,1.85
45,43,1/15/2019,CHI,22.5,1.85,1.85
46,44,1/17/2019,OKC,20.5,1.85,1.85
47,45,1/19/2019,HOU,22.5,1.85,1.85
48,46,1/21/2019,GSW,22.5,1.85,1.85
49,47,1/24/2019,MIN,23.5,1.85,1.85
50,x,1/27/2019,PHO,x,,
51,x,1/29/2019,PHI,x,,
52,48,1/31/2019,LAC,17.5,1.85,1.85
53,49,2/2/2019,GSW,17.5,1.85,1.85
54,50,2/5/2019,IND,16.5,1.85,1.85
55,51,2/7/2019,BOS,16.5,1.85,1.85
56,52,2/10/2019,PHI,16.5,1.9,1.8
57,53,2/12/2019,ATL,20.5,1.9,1.8
58,54,2/21/2019,HOU,19.5,1.9,1.8
59,55,2/23/2019,NOP,20.5,1.95,1.75
60,56,2/25/2019,MEM,18.5,1.9,1.8
61,57,2/27/2019,NOP,19.5,1.85,1.85
62,58,3/1/2019,MIL,20.5,1.85,1.85
63,59,3/2/2019,PHO,20.5,1.95,1.75
64,60,3/4/2019,LAC,18.5,1.85,1.85
65,x,3/6/2019,DEN,x,,
66,x,3/9/2019,BOS,x,,
67,61,3/12/2019,CHI,18.5,1.85,1.85
68,62,3/14/2019,TOR,18.5,1.85,1.85
69,63,3/15/2019,DET,18.5,1.85,1.85
70,64,3/17/2019,NYK,18.5,1.85,1.85
71,65,3/19/2019,MIL,17.5,1.85,1.85
72,66,3/22/2019,BRK,18.5,1.85,1.85
73,67,3/24/2019,SAC,18.5,1.85,1.85
74,68,3/26/2019,WAS,20.5,1.85,1.85
75,69,3/27/2019,UTA,18.5,1.85,1.85
76,70,3/29/2019,CHO,18.5,1.8,1.9
77,x,3/31/2019,NOP,x,,
78,x,4/2/2019,OKC,x,,
